dataset,weighting,dim,modality,method,metric,mean,ci_low,ci_high,n,n_boot,seed,evaluation_seed
ml-20m,bm25,128,i2i,flat,mrr,0.037293571428571426,0.034360421626984126,0.0403103363095238,10000,2000,42,42
ml-20m,bm25,128,i2i,flat,ndcg,0.04927211711904937,0.04595546905978687,0.0528155932214952,10000,2000,42,42
ml-20m,bm25,128,i2i,flat,precision,0.00885,0.008320000000000001,0.009430000000000001,10000,2000,42,42
ml-20m,bm25,128,i2i,flat,recall,0.0885,0.0832,0.0943,10000,2000,42,42
ml-20m,bm25,128,i2i,flatpq,ann_recall_vs_exact,0.8338200000000001,0.8318300000000001,0.8357902500000002,10000,2000,42,42
ml-20m,bm25,128,i2i,flatpq,hr,0.089,0.0834975,0.0949,10000,2000,42,42
ml-20m,bm25,128,i2i,flatpq,map,0.03671757936507936,0.03367565674603174,0.039860244047619044,10000,2000,42,42
ml-20m,bm25,128,i2i,flatpq,mrr,0.03671757936507936,0.03367565674603174,0.039860244047619044,10000,2000,42,42
ml-20m,bm25,128,i2i,flatpq,ndcg,0.048885908628089746,0.04553856065264984,0.05244901789680616,10000,2000,42,42
ml-20m,bm25,128,i2i,flatpq,precision,0.008900000000000002,0.00834975,0.00949,10000,2000,42,42
ml-20m,bm25,128,i2i,flatpq,recall,0.089,0.0834975,0.0949,10000,2000,42,42
ml-20m,bm25,128,i2i,hnsw,ann_recall_vs_exact,0.99969,0.9995700000000001,0.9998,10000,2000,42,42
ml-20m,bm25,128,i2i,hnsw,hr,0.0885,0.0832,0.0943,10000,2000,42,42
ml-20m,bm25,128,i2i,hnsw,map,0.037293571428571426,0.034360421626984126,0.0403103363095238,10000,2000,42,42
ml-20m,bm25,128,i2i,hnsw,mrr,0.037293571428571426,0.034360421626984126,0.0403103363095238,10000,2000,42,42
ml-20m,bm25,128,i2i,hnsw,ndcg,0.04927211711904937,0.04595546905978687,0.0528155932214952,10000,2000,42,42
ml-20m,bm25,128,i2i,hnsw,precision,0.00885,0.008320000000000001,0.009430000000000001,10000,2000,42,42
ml-20m,bm25,128,i2i,hnsw,recall,0.0885,0.0832,0.0943,10000,2000,42,42
