dataset,weighting,dim,modality,method,baseline,metric,mean_diff,cohens_d,cohens_d_magnitude,cliffs_delta,cliffs_delta_magnitude,n,seed,evaluation_seed
ml-20m,bm25,128,u2i,hnsw,flat,mrr,0.0,0.0,negligible,-0.0002940000000000026,negligible,10000,42,42
ml-20m,bm25,128,u2i,hnsw,flat,ndcg,0.0,0.0,negligible,-0.0002940000000000026,negligible,10000,42,42
ml-20m,bm25,128,u2i,hnsw,flat,precision,0.0,0.0,negligible,-0.0002334999999999976,negligible,10000,42,42
ml-20m,bm25,128,u2i,hnsw,flat,recall,0.0,0.0,negligible,-0.0002334999999999976,negligible,10000,42,42
ml-20m,bm25,128,u2i,ivfflat,flat,hr,-0.0002999999999999947,-0.013416944607192303,negligible,-0.0005440000000000028,negligible,10000,42,42
ml-20m,bm25,128,u2i,ivfflat,flat,map,9.444444444443867e-06,0.0014261393162590395,negligible,-0.0005855000000000027,negligible,10000,42,42
ml-20m,bm25,128,u2i,ivfflat,flat,mrr,9.444444444443867e-06,0.0014261393162590395,negligible,-0.0005855000000000027,negligible,10000,42,42
ml-20m,bm25,128,u2i,ivfflat,flat,ndcg,-6.124115830857119e-05,-0.006769520850919997,negligible,-0.0005855000000000027,negligible,10000,42,42
ml-20m,bm25,128,u2i,ivfflat,flat,precision,-3.0000000000000512e-05,-0.013416944607192307,negligible,-0.0005440000000000028,negligible,10000,42,42
ml-20m,bm25,128,u2i,ivfflat,flat,recall,-0.0002999999999999947,-0.013416944607192303,negligible,-0.0005440000000000028,negligible,10000,42,42
ml-20m,bm25,128,u2i,ivfpq,flat,hr,0.0005000000000000004,0.0024722248177469213,negligible,0.00023150000000000948,negligible,10000,42,42
